City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather Description
0,Kieta,PG,-6.2167,155.6333,78.75,84,46,6.35,light rain
1,Rikitea,PF,-23.1203,-134.9692,73.02,77,2,14.0,clear sky
2,Cherskiy,RU,68.75,161.3,30.04,74,59,4.36,broken clouds
3,Camacha,PT,33.0833,-16.3333,72.82,69,20,12.66,few clouds
4,Tautira,PF,-17.7333,-149.15,77.02,75,25,18.3,scattered clouds
5,Butaritari,KI,3.0707,172.7902,82.9,70,72,15.01,broken clouds
6,Kudahuvadhoo,MV,2.6708,72.8944,84.51,65,88,9.28,overcast clouds
7,Ushuaia,AR,-54.8,-68.3,31.66,80,40,6.91,scattered clouds
8,Fairbanks,US,64.8378,-147.7164,42.6,76,1,6.91,clear sky
9,Kysyl-Syr,RU,63.8986,122.7617,47.32,67,100,5.46,overcast clouds
10,Amapa,BR,1.0,-52.0,69.31,99,28,0.89,scattered clouds
11,Chimbote,PE,-9.0853,-78.5783,60.44,88,98,7.92,overcast clouds
12,Punta Arenas,CL,-53.15,-70.9167,30.31,86,75,3.44,broken clouds
13,Codrington,AU,-38.2667,141.9667,48.85,85,23,10.36,few clouds
14,Mar Del Plata,AR,-38.0023,-57.5575,42.82,87,0,6.91,clear sky
15,Port Alfred,ZA,-33.5906,26.891,61.45,70,98,15.86,light rain
16,Grindavik,IS,63.8424,-22.4338,50.47,100,90,10.36,overcast clouds
17,Ancud,CL,-41.8697,-73.8203,49.53,93,100,13.51,light rain
18,Sambava,MG,-14.2667,50.1667,77.25,68,42,10.02,scattered clouds
19,Chuy,UY,-33.6971,-53.4616,45.99,83,0,6.67,clear sky
20,Jamestown,US,42.097,-79.2353,59.07,99,90,4.0,mist
21,Ilulissat,GL,69.2167,-51.1,24.82,36,47,8.05,scattered clouds
22,Hithadhoo,MV,-0.6,73.0833,83.28,70,67,8.48,broken clouds
23,Berlevag,NO,70.8578,29.0864,46.35,61,20,3.44,few clouds
24,Tabory,RU,58.5198,64.5495,51.31,59,79,9.84,broken clouds
25,Baykit,RU,61.67,96.37,49.89,46,27,3.51,scattered clouds
26,Mehamn,NO,71.0357,27.8492,46.31,70,40,11.5,scattered clouds
27,Mahebourg,MU,-20.4081,57.7,76.24,72,5,10.0,clear sky
28,Kaitangata,NZ,-46.2817,169.8464,40.39,78,81,4.56,broken clouds
